Target Profit,Stop Loss,Total Profit,Success Trades,Failed Trades
31,1,8579.0,295,2332
31,2,7922.0,295,2332
31,3,7556.0,295,2332
31,4,7013.0,295,2332
31,5,6541.0,295,2332
31,6,6055.0,295,2332
31,7,5673.0,295,2332
31,8,5142.0,295,2332
31,9,4727.0,295,2332
31,10,4371.0,295,2332
31,11,3918.0,295,2332
31,12,3751.0,295,2332
31,13,3415.0,295,2332
31,14,3097.0,295,2332
31,15,2853.0,295,2332
31,16,2791.0,295,2332
31,17,2634.0,295,2332
31,18,2547.0,295,2332
31,19,2347.0,295,2332
31,20,2144.0,295,2332
31,21,1878.0,295,2332
31,22,1801.0,295,2332
31,23,1551.0,295,2332
31,24,1384.0,295,2332
32,1,8346.0,279,2348
32,2,7703.0,279,2348
32,3,7348.0,279,2348
32,4,6813.0,279,2348
32,5,6392.0,279,2348
32,6,5943.0,279,2348
32,7,5594.0,279,2348
32,8,5056.0,279,2348
32,9,4634.0,279,2348
32,10,4271.0,279,2348
32,11,3811.0,279,2348
32,12,3676.0,279,2348
32,13,3334.0,279,2348
32,14,3010.0,279,2348
32,15,2760.0,279,2348
32,16,2733.0,279,2348
32,17,2616.0,279,2348
32,18,2554.0,279,2348
32,19,2357.0,279,2348
32,20,2152.0,279,2348
32,21,1884.0,279,2348
32,22,1805.0,279,2348
32,23,1553.0,279,2348
32,24,1384.0,279,2348
33,1,8282.0,264,2363
33,2,7717.0,264,2363
33,3,7415.0,264,2363
33,4,6906.0,264,2363
33,5,6516.0,264,2363
33,6,6065.0,264,2363
33,7,5714.0,264,2363
33,8,5174.0,264,2363
33,9,4791.0,264,2363
33,10,4427.0,264,2363
33,11,3966.0,264,2363
33,12,3830.0,264,2363
33,13,3487.0,264,2363
33,14,3181.0,264,2363
33,15,2931.0,264,2363
33,16,2904.0,264,2363
33,17,2787.0,264,2363
33,18,2725.0,264,2363
33,19,2528.0,264,2363
33,20,2323.0,264,2363
33,21,2055.0,264,2363
33,22,1976.0,264,2363
33,23,1724.0,264,2363
33,24,1555.0,264,2363
34,1,7916.0,246,2381
34,2,7365.0,246,2381
34,3,7155.0,246,2381
34,4,6689.0,246,2381
34,5,6394.0,246,2381
34,6,5935.0,246,2381
34,7,5702.0,246,2381
34,8,5158.0,246,2381
34,9,4771.0,246,2381
34,10,4403.0,246,2381
34,11,3938.0,246,2381
34,12,3798.0,246,2381
34,13,3451.0,246,2381
34,14,3186.0,246,2381
34,15,2933.0,246,2381
34,16,2923.0,246,2381
34,17,2804.0,246,2381
34,18,2740.0,246,2381
34,19,2541.0,246,2381
34,20,2385.0,246,2381
34,21,2116.0,246,2381
34,22,2036.0,246,2381
34,23,1783.0,246,2381
34,24,1613.0,246,2381
35,1,7715.0,233,2394
35,2,7152.0,233,2394
35,3,6998.0,233,2394
35,4,6542.0,233,2394
35,5,6239.0,233,2394
35,6,5772.0,233,2394
35,7,5550.0,233,2394
35,8,5013.0,233,2394
35,9,4620.0,233,2394
35,10,4278.0,233,2394
35,11,3808.0,233,2394
35,12,3706.0,233,2394
35,13,3356.0,233,2394
35,14,3088.0,233,2394
35,15,2832.0,233,2394
35,16,2850.0,233,2394
35,17,2729.0,233,2394
35,18,2702.0,233,2394
35,19,2502.0,233,2394
35,20,2345.0,233,2394
35,21,2075.0,233,2394
35,22,2050.0,233,2394
35,23,1797.0,233,2394
35,24,1627.0,233,2394
36,1,7357.0,215,2412
36,2,6779.0,215,2412
36,3,6663.0,215,2412
36,4,6258.0,215,2412
36,5,6009.0,215,2412
36,6,5533.0,215,2412
36,7,5302.0,215,2412
36,8,4756.0,215,2412
36,9,4354.0,215,2412
36,10,4003.0,215,2412
36,11,3568.0,215,2412
36,12,3488.0,215,2412
36,13,3131.0,215,2412
36,14,2856.0,215,2412
36,15,2637.0,215,2412
36,16,2649.0,215,2412
36,17,2522.0,215,2412
36,18,2583.0,215,2412
36,19,2379.0,215,2412
36,20,2218.0,215,2412
36,21,1989.0,215,2412
36,22,1961.0,215,2412
36,23,1705.0,215,2412
36,24,1532.0,215,2412
37,1,7077.0,201,2426
37,2,6508.0,201,2426
37,3,6404.0,201,2426
37,4,5989.0,201,2426
37,5,5730.0,201,2426
37,6,5318.0,201,2426
37,7,5104.0,201,2426
37,8,4551.0,201,2426
37,9,4180.0,201,2426
37,10,3841.0,201,2426
37,11,3448.0,201,2426
37,12,3364.0,201,2426
37,13,3003.0,201,2426
37,14,2724.0,201,2426
37,15,2501.0,201,2426
37,16,2509.0,201,2426
37,17,2428.0,201,2426
37,18,2486.0,201,2426
37,19,2279.0,201,2426
37,20,2115.0,201,2426
37,21,1883.0,201,2426
37,22,1852.0,201,2426
37,23,1593.0,201,2426
37,24,1443.0,201,2426
38,1,6619.0,183,2444
38,2,6094.0,183,2444
38,3,6039.0,183,2444
38,4,5612.0,183,2444
38,5,5385.0,183,2444
38,6,4963.0,183,2444
38,7,4781.0,183,2444
38,8,4244.0,183,2444
38,9,3866.0,183,2444
38,10,3520.0,183,2444
38,11,3120.0,183,2444
38,12,3118.0,183,2444
38,13,2797.0,183,2444
38,14,2514.0,183,2444
38,15,2287.0,183,2444
38,16,2291.0,183,2444
38,17,2206.0,183,2444
38,18,2301.0,183,2444
38,19,2091.0,183,2444
38,20,1924.0,183,2444
38,21,1689.0,183,2444
38,22,1659.0,183,2444
38,23,1398.0,183,2444
38,24,1283.0,183,2444
39,1,6449.0,172,2455
39,2,5976.0,172,2455
39,3,5915.0,172,2455
39,4,5482.0,172,2455
39,5,5249.0,172,2455
39,6,4821.0,172,2455
39,7,4708.0,172,2455
39,8,4167.0,172,2455
39,9,3785.0,172,2455
39,10,3481.0,172,2455
39,11,3098.0,172,2455
39,12,3094.0,172,2455
39,13,2771.0,172,2455
39,14,2486.0,172,2455
39,15,2257.0,172,2455
39,16,2259.0,172,2455
39,17,2172.0,172,2455
39,18,2300.0,172,2455
39,19,2089.0,172,2455
39,20,1921.0,172,2455
39,21,1685.0,172,2455
39,22,1705.0,172,2455
39,23,1444.0,172,2455
39,24,1329.0,172,2455
