comparison_ticker,ipo_ticker,first_open_price,price_10_days,price_30_days,price_60_days,price_90_days,price_180_days,current_price
4902.T,4075.T,597.0,565.0,593.0,589.0,488.0,505.0,414.6000061035156
6971.T,7379.T,1709.25,1689.0,1835.5,1669.0,1724.5,1684.75,1654.0
4506.T,2991.T,2274.0,1801.0,2073.0,1889.0,1348.0,1174.0,708.0
6981.T,7378.T,2899.0,3072.666748046875,3176.666748046875,2924.666748046875,2809.0,2608.666748046875,2103.5
4755.T,4074.T,1302.0,1216.0,1152.0,1134.0,1182.0,919.0,784.0
3861.T,7792.T,632.0,630.0,587.0,560.0,577.0,596.0,618.2999877929688
5233.T,7376.T,2487.0,2496.0,2544.0,2249.0,2386.0,2019.0,3878.0
6473.T,4071.T,1146.0,1159.0,1041.0,999.0,1003.0,982.0,972.0
6473.T,4069.T,1156.0,1147.0,1042.0,984.0,1014.0,984.0,972.0
4543.T,4937.T,2209.5,2206.0,2164.5,2744.0,2399.0,1912.0,2733.5
9433.T,7374.T,1722.0,1725.0,1686.5,1914.0,1698.0,2080.0,2555.0
8766.T,5759.T,1709.0,1698.0,1803.3333740234375,1981.3333740234375,1993.6666259765625,2504.333251953125,5291.0
5706.T,7096.T,3130.0,3015.0,3355.0,3200.0,3225.0,3510.0,3702.0
6724.T,4068.T,1968.0,1927.0,2049.0,2279.0,2058.0,1805.0,1883.0
2914.T,4200.T,2200.0,2088.5,2137.0,2164.0,2365.0,2032.0,4250.0
9064.T,4932.T,3090.0,3260.0,3165.0,2914.0,2852.0,2314.0,2012.0
8630.T,7318.T,1399.6666259765625,1425.0,1564.3333740234375,1692.6666259765625,1662.0,1808.3333740234375,4525.0
7911.T,7345.T,1813.0,1796.0,1884.0,2035.0,1837.0,2250.0,3910.0
6178.T,7373.T,924.7999877929688,919.2999877929688,937.9000244140625,977.5,859.2999877929688,950.0,1339.5
6645.T,7791.T,8670.0,9110.0,9670.0,11690.0,11395.0,7955.0,4230.0
7951.T,4489.T,2066.666748046875,2023.3333740234375,2053.333251953125,2473.333251953125,2480.0,1661.6666259765625,1025.0
